epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2701,2.04606,3.53087,2.96835,1.84204,0.54488,0.17106,0.16299,0.07793,0.56417,0.12479,0.1346,0.05992,1.88431,4.16481,3.95457,1.85563,0.0735065,0.00662338,0.00662338
2,109.132,1.69816,2.95504,2.31921,1.58798,0.49977,0.24537,0.24399,0.12576,0.4918,0.22202,0.22328,0.09457,1.67512,3.47777,2.85645,1.7653,0.046182,0.0126322,0.0126322
3,161.807,1.60729,2.72325,2.08974,1.53583,0.43629,0.40708,0.36729,0.20111,0.42724,0.39346,0.34948,0.17544,1.57041,3.06992,2.11317,1.6889,0.0181974,0.017981,0.017981
4,208.485,1.52072,2.58483,1.9342,1.47106,0.304,0.54753,0.42131,0.24536,0.30148,0.52249,0.4081,0.2168,1.41803,2.5698,2.07604,1.53949,0.01703,0.01703,0.01703
5,252.383,1.43269,2.43393,1.80915,1.40961,0.46103,0.56935,0.52637,0.32391,0.4534,0.57402,0.51721,0.29809,1.33421,2.36214,1.59296,1.45286,0.01604,0.01604,0.01604
6,297.13,1.37423,2.29169,1.65146,1.36103,0.48956,0.64892,0.58484,0.36192,0.48909,0.64198,0.57844,0.3408,1.28498,2.14105,1.48035,1.41546,0.01505,0.01505,0.01505
7,345.115,1.3212,2.22689,1.59552,1.33295,0.58926,0.6106,0.61166,0.39446,0.59865,0.58698,0.60518,0.3773,1.22852,2.04497,1.36449,1.37223,0.01406,0.01406,0.01406
8,393.653,1.28646,2.16948,1.53524,1.30571,0.62408,0.67677,0.66854,0.44262,0.61502,0.66218,0.65077,0.42054,1.18999,1.92137,1.21989,1.31414,0.01307,0.01307,0.01307
9,441.612,1.24379,2.05775,1.45282,1.2744,0.66298,0.66501,0.69575,0.4683,0.6621,0.65886,0.68942,0.4368,1.15897,1.80812,1.16775,1.29723,0.01208,0.01208,0.01208
10,489.757,1.22093,2.03408,1.39077,1.25391,0.64853,0.73999,0.72169,0.50085,0.65983,0.71384,0.71595,0.47469,1.10213,1.78243,1.16534,1.26527,0.01109,0.01109,0.01109
11,542.142,1.16186,1.88364,1.18854,1.31241,0.69591,0.7127,0.7426,0.51203,0.70378,0.697,0.72626,0.48383,1.11218,1.79611,1.10452,1.24785,0.0101,0.0101,0.0101
12,594.327,1.12093,1.77534,1.0638,1.27975,0.75825,0.74005,0.79369,0.54657,0.7534,0.72719,0.77774,0.52168,1.07315,1.66331,1.00664,1.23463,0.00911,0.00911,0.00911
13,645.035,1.0692,1.6829,0.99541,1.23364,0.79851,0.78813,0.84165,0.60941,0.82169,0.77214,0.84016,0.58683,1.01087,1.54233,0.8871,1.19781,0.00812,0.00812,0.00812
14,695.754,1.04039,1.60489,0.92214,1.21727,0.80669,0.79702,0.85529,0.62693,0.80681,0.79879,0.85706,0.61172,0.97702,1.50048,0.87429,1.16981,0.00713,0.00713,0.00713
15,746.928,0.99224,1.53956,0.88012,1.17949,0.81927,0.839,0.86862,0.64633,0.82948,0.8343,0.87032,0.629,0.94586,1.43252,0.8104,1.13664,0.00614,0.00614,0.00614
16,797.891,0.97042,1.48823,0.83048,1.17339,0.83767,0.83702,0.88347,0.66271,0.84015,0.83651,0.88191,0.64825,0.93645,1.42496,0.77418,1.12208,0.00515,0.00515,0.00515
17,846.034,0.93395,1.41288,0.77974,1.14086,0.86653,0.86191,0.90461,0.69802,0.87013,0.86595,0.90761,0.68393,0.88119,1.32576,0.71324,1.08919,0.00416,0.00416,0.00416
18,892.404,0.9064,1.35444,0.74283,1.12256,0.8682,0.86429,0.90836,0.70407,0.86966,0.8666,0.91066,0.6936,0.87811,1.3046,0.69813,1.09119,0.00317,0.00317,0.00317
19,943.199,0.87875,1.31468,0.71635,1.10597,0.8808,0.85582,0.9073,0.71168,0.88143,0.85549,0.90915,0.69911,0.84646,1.2656,0.67189,1.075,0.00218,0.00218,0.00218
20,991.56,0.84741,1.28086,0.68875,1.0878,0.86686,0.88845,0.91673,0.72708,0.88249,0.87064,0.91845,0.7123,0.82262,1.23849,0.64514,1.05958,0.00119,0.00119,0.00119
